order_id,order_date,region,product_category,product_name,quantity,unit_price,total_amount,customer_segment,channel
ORD-10001,2025-03-12,South,Electronics,Wireless Mouse,5,31.6,154.35,Consumer,Offline
ORD-10002,2025-02-02,South,Kitchen,Blender,6,74.89,463.45,Consumer,Online
ORD-10003,2025-02-08,West,Electronics,USB-C Hub,4,65.55,271.5,Consumer,Online
ORD-10004,2025-02-10,East,Fitness,Adjustable Dumbbells,4,200.35,831.92,Consumer,Offline
ORD-10005,2025-11-14,North,Beauty,Hair Dryer,1,51.28,51.08,Consumer,Online
ORD-10006,2025-12-26,North,Beauty,Makeup Kit,6,45.36,281.37,Corporate,Offline
ORD-10007,2025-01-09,South,Electronics,Noise Cancelling Headphones,8,145.1,1128.92,Corporate,Offline
ORD-10008,2025-12-26,West,Outdoor,Trail Backpack,6,93.64,541.96,Small Business,Online
ORD-10009,2025-03-28,West,Fitness,Resistance Bands,5,26.88,139.19,Consumer,Offline
ORD-10010,2025-07-31,West,Kitchen,Air Fryer,4,111.71,434.11,Corporate,Offline
ORD-10011,2025-02-10,East,Home Office,Standing Desk,2,525.27,1043.46,Consumer,Offline
ORD-10012,2025-08-29,East,Beauty,Skin Care Set,5,58.04,278.71,Consumer,Online
ORD-10013,2025-06-03,North,Fitness,Resistance Bands,3,27.37,85.01,Small Business,Offline
ORD-10014,2025-12-16,West,Beauty,Hair Dryer,6,49.84,301.15,Corporate,Offline
ORD-10015,2025-03-02,North,Electronics,Wireless Mouse,4,31.86,123.63,Consumer,Online
ORD-10016,2025-01-24,South,Home Office,Desk Lamp,2,41.62,86.34,Consumer,Online
ORD-10017,2025-04-12,South,Electronics,USB-C Hub,4,66.56,265.68,Corporate,Online
ORD-10018,2025-11-29,North,Beauty,Hair Dryer,5,46.83,234.81,Consumer,Online
ORD-10019,2025-05-12,East,Beauty,Hair Dryer,3,65.84,200.95,Small Business,Online
ORD-10020,2025-10-02,South,Kitchen,Coffee Maker,4,74.24,302.8,Consumer,Offline
ORD-10021,2025-12-22,East,Fitness,Adjustable Dumbbells,2,193.95,376.59,Small Business,Offline
ORD-10022,2025-09-09,North,Kitchen,Blender,4,59.24,240.77,Consumer,Offline
ORD-10023,2025-01-06,North,Kitchen,Blender,5,82.2,417.15,Consumer,Offline
ORD-10024,2025-06-20,North,Electronics,Noise Cancelling Headphones,5,163.81,802.45,Consumer,Offline
ORD-10025,2025-11-28,South,Electronics,Wireless Mouse,3,21.11,64.72,Small Business,Online
ORD-10026,2025-09-17,East,Outdoor,Water Bottle,7,19.96,137.6,Corporate,Offline
ORD-10027,2025-10-20,South,Home Office,Ergonomic Chair,7,253.19,1734.15,Corporate,Offline
ORD-10028,2025-01-25,East,Kitchen,Air Fryer,4,120.11,486.65,Consumer,Online
ORD-10029,2025-06-15,North,Beauty,Hair Dryer,6,68.99,406.11,Corporate,Online
ORD-10030,2025-09-26,West,Kitchen,Air Fryer,5,98.36,504.82,Consumer,Offline
ORD-10031,2025-08-29,South,Kitchen,Blender,2,72.89,147.24,Consumer,Offline
ORD-10032,2025-10-08,North,Fitness,Resistance Bands,4,16.04,65.43,Consumer,Online
ORD-10033,2025-09-15,South,Kitchen,Blender,6,66.99,386.82,Corporate,Online
ORD-10034,2025-08-23,West,Beauty,Skin Care Set,2,65.52,132.08,Consumer,Online
ORD-10035,2025-10-15,North,Outdoor,Water Bottle,4,20.66,84.09,Corporate,Offline
ORD-10036,2025-12-09,North,Kitchen,Blender,5,72.99,359.98,Consumer,Online
ORD-10037,2025-09-24,West,Beauty,Makeup Kit,5,41.05,210.38,Corporate,Offline
ORD-10038,2025-09-20,North,Electronics,Wireless Mouse,4,23.55,96.37,Corporate,Offline
ORD-10039,2025-10-01,South,Kitchen,Blender,3,63.51,194.15,Small Business,Offline
ORD-10040,2025-04-14,East,Electronics,Wireless Mouse,4,32.94,131.81,Corporate,Offline
ORD-10041,2025-05-20,West,Fitness,Adjustable Dumbbells,5,252.83,1281.33,Consumer,Online
ORD-10042,2025-05-04,South,Fitness,Yoga Mat,7,35.27,250.65,Corporate,Offline
ORD-10043,2025-03-16,East,Home Office,Desk Lamp,3,49.74,149.48,Consumer,Offline
ORD-10044,2025-04-28,West,Kitchen,Blender,2,102.49,200.77,Consumer,Offline
ORD-10045,2025-05-01,East,Outdoor,Water Bottle,7,31.19,210.1,Corporate,Offline
ORD-10046,2025-02-27,West,Fitness,Resistance Bands,5,22.17,110.21,Consumer,Online
ORD-10047,2025-11-20,East,Electronics,Wireless Mouse,1,23.12,22.84,Consumer,Online
ORD-10048,2025-11-04,West,Beauty,Skin Care Set,4,62.21,248.28,Corporate,Offline
ORD-10049,2025-02-12,North,Beauty,Makeup Kit,6,52.16,314.6,Consumer,Offline
ORD-10050,2025-10-13,North,Home Office,Desk Lamp,5,26.93,133.16,Consumer,Online
ORD-10051,2025-12-15,East,Electronics,USB-C Hub,5,42.69,206.97,Corporate,Online
ORD-10052,2025-12-03,East,Fitness,Yoga Mat,2,26.9,54.85,Consumer,Offline
ORD-10053,2025-03-22,East,Home Office,Desk Lamp,4,42.84,170.26,Corporate,Online
ORD-10054,2025-12-13,East,Outdoor,Camping Tent,1,186.15,188.41,Small Business,Offline
ORD-10055,2025-09-28,East,Fitness,Resistance Bands,4,18.23,71.05,Corporate,Offline
ORD-10056,2025-09-10,East,Fitness,Resistance Bands,2,17.57,34.48,Small Business,Offline
ORD-10057,2025-01-10,South,Electronics,Wireless Mouse,8,26.27,204.61,Corporate,Online
ORD-10058,2025-06-14,South,Home Office,Ergonomic Chair,3,281.09,854.4,Consumer,Online
ORD-10059,2025-08-09,South,Outdoor,Camping Tent,6,184.67,1116.51,Consumer,Offline
ORD-10060,2025-01-17,West,Home Office,Ergonomic Chair,4,297.41,1174.08,Corporate,Online
ORD-10061,2025-08-08,South,Kitchen,Air Fryer,2,96.97,189.42,Consumer,Online
ORD-10062,2025-12-21,West,Fitness,Resistance Bands,2,20.89,42.43,Consumer,Online
ORD-10063,2025-09-21,North,Outdoor,Water Bottle,1,20.37,19.6,Small Business,Offline
ORD-10064,2025-10-19,North,Outdoor,Water Bottle,6,21.65,128.05,Consumer,Offline
ORD-10065,2025-01-04,North,Electronics,Wireless Mouse,3,26.03,80.83,Consumer,Online
ORD-10066,2025-10-22,East,Fitness,Resistance Bands,6,16.26,96.89,Corporate,Offline
ORD-10067,2025-05-30,North,Electronics,USB-C Hub,4,59.7,248.16,Consumer,Online
ORD-10068,2025-06-28,South,Beauty,Makeup Kit,4,48.56,201.71,Consumer,Online
ORD-10069,2025-05-16,South,Electronics,USB-C Hub,1,57.37,59.06,Small Business,Offline
ORD-10070,2025-08-18,South,Home Office,Standing Desk,6,363.47,2175.66,Consumer,Offline
ORD-10071,2025-12-09,West,Outdoor,Trail Backpack,2,87.11,169.76,Consumer,Offline
ORD-10072,2025-09-11,West,Electronics,USB-C Hub,5,48.7,247.24,Corporate,Online
ORD-10073,2025-09-16,West,Electronics,USB-C Hub,3,52.99,157.74,Small Business,Offline
ORD-10074,2025-05-03,East,Electronics,Wireless Mouse,5,35.13,178.47,Consumer,Offline
ORD-10075,2025-10-11,South,Electronics,Noise Cancelling Headphones,5,126.19,646.9,Consumer,Offline
ORD-10076,2025-06-27,West,Fitness,Yoga Mat,4,32.8,128.28,Consumer,Online
ORD-10077,2025-09-06,South,Fitness,Adjustable Dumbbells,6,155.17,903.82,Consumer,Offline
ORD-10078,2025-01-04,West,Fitness,Adjustable Dumbbells,6,208.53,1235.4,Consumer,Offline
ORD-10079,2025-03-07,West,Fitness,Adjustable Dumbbells,1,254.31,258.98,Consumer,Offline
ORD-10080,2025-03-10,West,Electronics,USB-C Hub,2,72.71,148.74,Small Business,Offline
ORD-10081,2025-09-02,South,Electronics,Wireless Mouse,4,20.74,80.58,Consumer,Online
ORD-10082,2025-05-14,East,Electronics,Wireless Mouse,3,29.71,92.2,Consumer,Online
ORD-10083,2025-10-25,North,Outdoor,Trail Backpack,5,70.69,351.65,Consumer,Online
ORD-10084,2025-09-27,North,Kitchen,Blender,5,64.9,321.38,Corporate,Online
ORD-10085,2025-02-09,North,Electronics,USB-C Hub,4,55.08,221.46,Corporate,Offline
ORD-10086,2025-05-11,South,Electronics,Wireless Mouse,4,34.55,138.54,Small Business,Offline
ORD-10087,2025-06-16,North,Kitchen,Blender,6,73.22,438.92,Small Business,Online
ORD-10088,2025-01-21,West,Kitchen,Blender,4,82.66,341.21,Corporate,Online
ORD-10089,2025-04-09,South,Home Office,Standing Desk,4,502.5,2041.83,Consumer,Offline
ORD-10090,2025-10-20,East,Fitness,Yoga Mat,1,30.05,29.94,Consumer,Offline
ORD-10091,2025-05-12,South,Outdoor,Trail Backpack,7,88.69,613.07,Corporate,Online
ORD-10092,2025-01-21,North,Outdoor,Trail Backpack,1,77.62,78.75,Corporate,Offline
ORD-10093,2025-03-14,South,Home Office,Ergonomic Chair,1,288.57,290.59,Consumer,Online
ORD-10094,2025-02-08,South,Home Office,Desk Lamp,5,39.35,197.59,Corporate,Online
ORD-10095,2025-04-06,South,Electronics,USB-C Hub,2,56.26,112.14,Small Business,Offline
ORD-10096,2025-01-24,North,Electronics,Noise Cancelling Headphones,4,134.47,522.83,Corporate,Online
ORD-10097,2025-01-08,North,Kitchen,Coffee Maker,6,96.95,560.4,Consumer,Online
ORD-10098,2025-08-21,South,Home Office,Desk Lamp,4,37.52,148.03,Consumer,Online
ORD-10099,2025-08-29,South,Kitchen,Air Fryer,8,106.79,887.15,Corporate,Online
ORD-10100,2025-09-06,East,Electronics,Wireless Mouse,4,25.3,99.47,Consumer,Online
ORD-10101,2025-10-31,North,Kitchen,Coffee Maker,3,79.14,239.83,Corporate,Offline
ORD-10102,2025-04-07,West,Outdoor,Camping Tent,2,278.61,536.75,Consumer,Online
ORD-10103,2025-03-31,East,Home Office,Ergonomic Chair,3,299.44,914.85,Consumer,Offline
ORD-10104,2025-09-14,East,Outdoor,Trail Backpack,6,69.91,419.43,Corporate,Offline
ORD-10105,2025-05-23,West,Electronics,Wireless Mouse,6,35.43,219.23,Consumer,Offline
ORD-10106,2025-08-06,North,Fitness,Yoga Mat,6,26.8,159.69,Consumer,Offline
ORD-10107,2025-12-20,West,Electronics,Wireless Mouse,1,24.3,25.0,Consumer,Offline
ORD-10108,2025-09-25,South,Beauty,Skin Care Set,5,55.24,278.76,Small Business,Online
ORD-10109,2025-05-21,East,Home Office,Standing Desk,4,520.78,2042.68,Consumer,Offline
ORD-10110,2025-05-20,West,Beauty,Hair Dryer,6,65.52,390.09,Small Business,Offline
ORD-10111,2025-02-17,East,Fitness,Yoga Mat,7,32.25,222.71,Corporate,Online
ORD-10112,2025-10-11,South,Electronics,Noise Cancelling Headphones,7,130.13,909.74,Corporate,Offline
ORD-10113,2025-07-15,East,Fitness,Yoga Mat,7,29.26,196.71,Corporate,Online
ORD-10114,2025-09-18,East,Electronics,Noise Cancelling Headphones,4,129.03,535.95,Small Business,Offline
ORD-10115,2025-07-03,East,Electronics,Wireless Mouse,5,30.95,155.39,Corporate,Online
ORD-10116,2025-05-15,North,Home Office,Standing Desk,3,448.66,1319.46,Consumer,Offline
ORD-10117,2025-07-20,South,Electronics,Wireless Mouse,4,26.48,107.7,Consumer,Offline
ORD-10118,2025-08-29,North,Kitchen,Air Fryer,6,93.62,548.66,Small Business,Offline
ORD-10119,2025-12-06,South,Beauty,Makeup Kit,6,44.74,268.61,Consumer,Offline
ORD-10120,2025-08-06,North,Fitness,Adjustable Dumbbells,1,182.98,187.45,Small Business,Offline
ORD-10121,2025-09-15,North,Outdoor,Water Bottle,7,17.88,120.92,Corporate,Offline
ORD-10122,2025-08-28,West,Electronics,Noise Cancelling Headphones,4,138.61,556.43,Corporate,Online
ORD-10123,2025-04-29,North,Beauty,Makeup Kit,5,61.81,309.37,Corporate,Offline
ORD-10124,2025-02-27,South,Electronics,Wireless Mouse,1,28.76,29.85,Small Business,Offline
ORD-10125,2025-02-16,North,Electronics,Noise Cancelling Headphones,5,157.71,803.24,Consumer,Online
ORD-10126,2025-07-18,East,Outdoor,Trail Backpack,2,91.13,183.26,Consumer,Online
ORD-10127,2025-10-10,South,Fitness,Adjustable Dumbbells,1,145.69,147.24,Consumer,Offline
ORD-10128,2025-04-14,North,Kitchen,Air Fryer,3,143.92,439.78,Consumer,Online
ORD-10129,2025-03-27,East,Electronics,USB-C Hub,5,62.19,300.09,Consumer,Online
ORD-10130,2025-10-21,East,Kitchen,Blender,2,58.87,116.35,Consumer,Offline
ORD-10131,2025-04-03,East,Electronics,USB-C Hub,4,52.77,210.77,Consumer,Online
ORD-10132,2025-03-29,North,Fitness,Adjustable Dumbbells,5,207.57,1066.17,Small Business,Online
ORD-10133,2025-09-17,South,Fitness,Yoga Mat,3,25.67,78.38,Corporate,Offline
ORD-10134,2025-07-26,South,Fitness,Yoga Mat,3,31.53,97.32,Consumer,Online
ORD-10135,2025-11-28,East,Electronics,USB-C Hub,5,45.96,227.16,Small Business,Offline
ORD-10136,2025-01-23,North,Electronics,Wireless Mouse,3,27.62,85.44,Small Business,Offline
ORD-10137,2025-12-08,South,Electronics,USB-C Hub,5,48.39,242.69,Small Business,Online
ORD-10138,2025-04-10,South,Kitchen,Blender,5,74.42,372.85,Corporate,Online
ORD-10139,2025-11-22,West,Outdoor,Camping Tent,5,204.87,1060.71,Small Business,Offline
ORD-10140,2025-07-11,North,Beauty,Makeup Kit,5,48.2,242.25,Small Business,Online
ORD-10141,2025-06-06,North,Kitchen,Air Fryer,2,122.92,255.63,Consumer,Offline
ORD-10142,2025-11-13,West,Fitness,Adjustable Dumbbells,7,162.56,1126.65,Corporate,Online
ORD-10143,2025-09-12,North,Fitness,Adjustable Dumbbells,5,167.73,852.34,Consumer,Offline
ORD-10144,2025-01-04,West,Electronics,Wireless Mouse,3,28.57,85.15,Consumer,Online
ORD-10145,2025-01-31,North,Fitness,Resistance Bands,3,20.46,60.39,Corporate,Online
ORD-10146,2025-01-24,West,Kitchen,Coffee Maker,5,102.94,515.66,Consumer,Online
ORD-10147,2025-08-11,West,Fitness,Resistance Bands,6,24.2,140.23,Corporate,Offline
ORD-10148,2025-09-15,North,Home Office,Standing Desk,7,391.47,2683.17,Corporate,Online
ORD-10149,2025-10-08,North,Beauty,Hair Dryer,3,53.79,160.18,Corporate,Offline
ORD-10150,2025-04-01,North,Kitchen,Blender,6,91.56,546.79,Small Business,Offline
ORD-10151,2025-07-01,West,Fitness,Yoga Mat,6,30.46,179.46,Consumer,Online
ORD-10152,2025-02-13,West,Kitchen,Air Fryer,5,133.7,682.06,Corporate,Offline
ORD-10153,2025-10-09,East,Home Office,Standing Desk,3,338.14,1015.05,Small Business,Online
ORD-10154,2025-06-20,West,Electronics,Noise Cancelling Headphones,1,180.08,179.37,Consumer,Offline
ORD-10155,2025-09-01,North,Beauty,Hair Dryer,4,45.22,176.63,Consumer,Online
ORD-10156,2025-09-08,East,Electronics,Noise Cancelling Headphones,7,106.76,761.05,Corporate,Online
ORD-10157,2025-10-19,South,Outdoor,Water Bottle,5,19.26,94.27,Consumer,Online
ORD-10158,2025-10-17,West,Home Office,Desk Lamp,7,30.5,207.3,Corporate,Offline
ORD-10159,2025-05-28,West,Beauty,Makeup Kit,2,58.42,120.05,Corporate,Offline
ORD-10160,2025-04-09,South,Electronics,Noise Cancelling Headphones,3,151.77,452.73,Consumer,Online
ORD-10161,2025-08-20,North,Outdoor,Camping Tent,5,192.9,959.0,Consumer,Online
ORD-10162,2025-01-27,East,Beauty,Skin Care Set,2,65.39,130.66,Consumer,Online
ORD-10163,2025-09-20,South,Home Office,Ergonomic Chair,4,268.52,1052.65,Corporate,Offline
ORD-10164,2025-11-06,East,Home Office,Desk Lamp,6,32.87,195.62,Consumer,Online
ORD-10165,2025-02-26,West,Electronics,Wireless Mouse,4,28.56,113.93,Consumer,Online
ORD-10166,2025-02-21,East,Fitness,Adjustable Dumbbells,3,181.34,530.12,Consumer,Online
ORD-10167,2025-07-30,South,Electronics,Noise Cancelling Headphones,4,132.47,512.78,Consumer,Online
ORD-10168,2025-08-27,South,Outdoor,Camping Tent,1,183.05,177.93,Consumer,Online
ORD-10169,2025-09-20,South,Outdoor,Trail Backpack,2,73.05,148.25,Small Business,Online
ORD-10170,2025-10-11,North,Kitchen,Blender,3,56.48,165.1,Small Business,Online
ORD-10171,2025-10-20,North,Electronics,Wireless Mouse,2,24.49,49.16,Consumer,Online
ORD-10172,2025-03-29,East,Beauty,Skin Care Set,4,78.78,327.36,Corporate,Online
ORD-10173,2025-11-25,North,Kitchen,Coffee Maker,10,70.93,697.85,Corporate,Offline
ORD-10174,2025-03-19,South,Fitness,Resistance Bands,4,27.79,107.55,Corporate,Online
ORD-10175,2025-12-28,East,Beauty,Skin Care Set,3,60.61,183.46,Consumer,Online
ORD-10176,2025-07-26,West,Outdoor,Camping Tent,4,211.21,818.82,Small Business,Online
ORD-10177,2025-09-15,North,Kitchen,Air Fryer,6,80.81,494.62,Consumer,Online
ORD-10178,2025-03-06,East,Beauty,Makeup Kit,5,50.66,256.25,Consumer,Offline
ORD-10179,2025-09-25,South,Outdoor,Water Bottle,1,18.31,17.86,Consumer,Offline
ORD-10180,2025-09-23,South,Home Office,Standing Desk,5,348.91,1732.86,Small Business,Offline
ORD-10181,2025-12-06,East,Home Office,Desk Lamp,2,32.73,67.84,Consumer,Online
ORD-10182,2025-04-22,West,Outdoor,Water Bottle,6,25.7,151.84,Consumer,Online
ORD-10183,2025-04-14,West,Fitness,Resistance Bands,4,28.98,111.41,Consumer,Offline
ORD-10184,2025-06-30,East,Kitchen,Air Fryer,1,120.19,120.42,Consumer,Online
ORD-10185,2025-09-14,East,Electronics,Wireless Mouse,10,24.84,241.55,Corporate,Online
ORD-10186,2025-12-21,West,Electronics,Wireless Mouse,4,23.98,94.44,Corporate,Online
ORD-10187,2025-09-21,North,Beauty,Skin Care Set,6,60.38,371.16,Consumer,Offline
ORD-10188,2025-10-05,East,Electronics,Noise Cancelling Headphones,4,111.64,437.89,Corporate,Online
ORD-10189,2025-09-21,North,Kitchen,Air Fryer,6,91.16,526.23,Consumer,Online
ORD-10190,2025-05-03,West,Home Office,Desk Lamp,5,51.17,246.19,Consumer,Offline
ORD-10191,2025-02-01,North,Kitchen,Blender,1,67.97,67.65,Consumer,Online
ORD-10192,2025-04-05,South,Home Office,Standing Desk,3,480.87,1416.7,Consumer,Offline
ORD-10193,2025-12-19,South,Beauty,Skin Care Set,2,53.56,106.54,Consumer,Offline
ORD-10194,2025-06-30,North,Outdoor,Water Bottle,5,28.01,138.14,Consumer,Online
ORD-10195,2025-07-30,East,Electronics,Wireless Mouse,5,30.18,154.91,Consumer,Online
ORD-10196,2025-02-18,North,Kitchen,Coffee Maker,6,101.13,589.14,Consumer,Offline
ORD-10197,2025-04-17,North,Home Office,Desk Lamp,2,42.58,84.55,Consumer,Online
ORD-10198,2025-08-10,West,Kitchen,Coffee Maker,4,81.32,323.53,Corporate,Online
ORD-10199,2025-06-18,South,Beauty,Makeup Kit,2,50.27,99.72,Consumer,Offline
ORD-10200,2025-09-01,East,Home Office,Ergonomic Chair,4,203.08,807.09,Consumer,Online
ORD-10201,2025-06-06,South,Outdoor,Camping Tent,10,238.06,2398.54,Corporate,Offline
ORD-10202,2025-03-02,East,Home Office,Standing Desk,4,516.9,2146.02,Small Business,Online
ORD-10203,2025-11-15,South,Fitness,Resistance Bands,2,18.78,38.95,Small Business,Offline
ORD-10204,2025-11-07,South,Beauty,Hair Dryer,4,49.71,202.39,Corporate,Offline
ORD-10205,2025-09-06,South,Fitness,Yoga Mat,2,24.92,50.88,Consumer,Online
ORD-10206,2025-10-26,South,Home Office,Standing Desk,4,378.08,1553.77,Consumer,Offline
ORD-10207,2025-02-07,South,Fitness,Yoga Mat,4,38.3,158.11,Consumer,Online
ORD-10208,2025-04-09,South,Kitchen,Blender,6,85.06,497.47,Consumer,Online
ORD-10209,2025-01-01,East,Beauty,Makeup Kit,1,46.62,45.54,Corporate,Offline
ORD-10210,2025-03-29,North,Kitchen,Blender,4,75.69,304.9,Consumer,Online
ORD-10211,2025-08-14,South,Kitchen,Coffee Maker,6,80.96,497.48,Consumer,Offline
ORD-10212,2025-06-17,West,Beauty,Skin Care Set,6,73.42,431.4,Consumer,Online
ORD-10213,2025-08-02,North,Kitchen,Blender,5,61.76,315.51,Consumer,Online
ORD-10214,2025-08-14,East,Fitness,Adjustable Dumbbells,5,153.07,792.41,Corporate,Online
ORD-10215,2025-04-15,West,Electronics,Wireless Mouse,3,33.76,101.41,Consumer,Online
ORD-10216,2025-11-28,East,Kitchen,Air Fryer,3,87.96,266.59,Small Business,Offline
ORD-10217,2025-12-26,West,Kitchen,Blender,4,69.92,280.69,Consumer,Online
ORD-10218,2025-05-05,East,Fitness,Yoga Mat,4,32.55,127.36,Corporate,Offline
ORD-10219,2025-02-25,South,Fitness,Adjustable Dumbbells,6,232.3,1411.99,Consumer,Offline
ORD-10220,2025-05-02,North,Kitchen,Blender,6,76.11,468.49,Consumer,Online
ORD-10221,2025-01-22,North,Kitchen,Coffee Maker,5,94.65,476.67,Small Business,Online
ORD-10222,2025-03-02,North,Outdoor,Camping Tent,2,250.66,510.37,Consumer,Online
ORD-10223,2025-03-02,East,Electronics,USB-C Hub,1,55.15,56.11,Consumer,Offline
ORD-10224,2025-04-15,East,Kitchen,Blender,5,80.49,402.11,Consumer,Online
ORD-10225,2025-12-14,South,Electronics,USB-C Hub,2,44.67,92.86,Small Business,Offline
ORD-10226,2025-07-26,South,Kitchen,Blender,4,73.87,305.0,Corporate,Offline
ORD-10227,2025-02-15,East,Kitchen,Blender,4,68.47,279.49,Consumer,Online
ORD-10228,2025-02-20,East,Home Office,Ergonomic Chair,9,281.71,2567.48,Corporate,Online
ORD-10229,2025-09-23,West,Electronics,USB-C Hub,4,50.2,204.11,Consumer,Online
ORD-10230,2025-10-21,North,Beauty,Hair Dryer,3,52.96,156.83,Consumer,Online
ORD-10231,2025-08-05,East,Electronics,Noise Cancelling Headphones,1,118.9,117.85,Consumer,Online
ORD-10232,2025-06-15,North,Fitness,Resistance Bands,1,20.54,20.33,Consumer,Online
ORD-10233,2025-11-06,East,Outdoor,Trail Backpack,4,71.25,292.17,Consumer,Offline
ORD-10234,2025-05-27,South,Electronics,Wireless Mouse,7,36.83,267.73,Corporate,Offline
ORD-10235,2025-06-29,North,Fitness,Resistance Bands,1,22.97,22.06,Consumer,Offline
ORD-10236,2025-12-24,West,Fitness,Resistance Bands,2,19.15,38.03,Consumer,Offline
ORD-10237,2025-06-19,West,Kitchen,Coffee Maker,3,99.47,289.03,Small Business,Online
ORD-10238,2025-12-04,West,Beauty,Makeup Kit,4,43.05,166.4,Consumer,Online
ORD-10239,2025-05-11,West,Electronics,Wireless Mouse,2,30.95,60.03,Consumer,Offline
ORD-10240,2025-10-18,West,Home Office,Desk Lamp,7,33.24,234.39,Corporate,Offline
ORD-10241,2025-09-20,South,Kitchen,Coffee Maker,2,84.67,166.94,Small Business,Offline
ORD-10242,2025-09-09,West,Fitness,Resistance Bands,2,18.34,35.56,Small Business,Offline
ORD-10243,2025-09-08,North,Home Office,Desk Lamp,3,35.67,108.4,Consumer,Online
ORD-10244,2025-08-06,East,Electronics,Wireless Mouse,5,27.32,135.17,Consumer,Online
ORD-10245,2025-12-30,West,Beauty,Makeup Kit,3,41.08,118.78,Consumer,Online
ORD-10246,2025-08-03,West,Electronics,Wireless Mouse,4,30.15,118.72,Corporate,Offline
ORD-10247,2025-01-10,South,Beauty,Hair Dryer,3,58.92,183.52,Small Business,Offline
ORD-10248,2025-08-17,East,Home Office,Desk Lamp,4,38.04,156.48,Consumer,Online
ORD-10249,2025-11-08,South,Electronics,Wireless Mouse,1,26.27,25.25,Consumer,Offline
ORD-10250,2025-08-08,North,Electronics,Wireless Mouse,5,25.29,122.58,Corporate,Online
ORD-10251,2025-12-28,South,Home Office,Standing Desk,2,382.98,782.83,Consumer,Online
ORD-10252,2025-05-05,West,Electronics,Wireless Mouse,2,31.42,60.68,Consumer,Online
ORD-10253,2025-06-19,South,Outdoor,Trail Backpack,5,93.5,454.59,Consumer,Online
ORD-10254,2025-08-23,East,Kitchen,Air Fryer,3,107.57,324.54,Consumer,Offline
ORD-10255,2025-06-03,North,Beauty,Makeup Kit,2,50.4,101.91,Consumer,Online
ORD-10256,2025-11-02,North,Fitness,Adjustable Dumbbells,8,155.17,1200.57,Corporate,Offline
ORD-10257,2025-12-05,North,Beauty,Skin Care Set,2,57.94,112.64,Consumer,Offline
ORD-10258,2025-09-19,East,Fitness,Adjustable Dumbbells,5,178.76,899.66,Consumer,Online
ORD-10259,2025-10-16,South,Outdoor,Camping Tent,9,182.56,1593.42,Corporate,Online
ORD-10260,2025-12-23,North,Outdoor,Water Bottle,5,18.93,94.3,Small Business,Online
ORD-10261,2025-06-23,North,Kitchen,Coffee Maker,3,100.47,294.31,Corporate,Online
ORD-10262,2025-02-02,South,Electronics,Wireless Mouse,2,29.42,59.36,Corporate,Offline
ORD-10263,2025-03-29,North,Beauty,Skin Care Set,2,78.13,156.25,Small Business,Offline
ORD-10264,2025-09-10,West,Home Office,Desk Lamp,2,36.84,70.77,Consumer,Offline
ORD-10265,2025-05-29,North,Kitchen,Air Fryer,6,124.83,721.1,Corporate,Online
ORD-10266,2025-11-21,East,Electronics,Noise Cancelling Headphones,6,130.07,773.02,Corporate,Online
